@relation Camera__468Negetive556Positive-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Got this yesterday and like it, had before. Just to note, PowerShot A2500 is an entry-level pocket camera which is very similar to PowerShot A2300: 16-megapixel 1/2.3\" sensor, DiGiC 4 processor, and 5x zoom 28mm wide angle lens, 2.7\" LCD. Even 720p HD video capabilities are the same.Pros:1. What really distinguishes it from its predecessor is Smart Auto Mode recognizing 32 shooting environments and adjusts settings for better quality. It automatically selects the best shooting settings for optimal quality based on the environmental factors (lightning I guess) to provide point\'n\'shoot simplicity.2. 16.0 Megapixels, with loads of resolution pictures are still clear. High resolution is also good for producing biggest printouts.3. 5x Optical Zoom is sufficient in most cases.4. DIGIC 4 Image Processor. Not as fast as DIGIC 5 though fast and powerful enough to give you advanced system options, provide quick-shoot with reliable performance and low battery consumption. As far as I know DIGIC 4 is currently Canon\'s most efficient processor for budget cameras. BTW it has some Eco mode, that is said to be providing even faster warm-up times and saves the standard battery, but I haven\'t tested it yet.5. Very lightweight, just put it into your pocket, can take it everywhere.6. Price tag - $99. You can\'t get any better camera for the price.Cons:1. Like A2300 it lacks optical image stabilization, though it\'s got digital image stabilization.2. 1/2.3\" sensor. Well, entry level CCD providing good pictures, not of a DSLR quality, that\'s all I can say.Summary:Sure this is not the best camera in the world. I definitely knew it when I bought the camera. BUT, I was pleasantly surprised with the quality of pictures I shot.If you\'re like me (not a pro) and looking for a budget point-and-shoot camera taking family photos and events, mostly shoot in daylight or good lighting, I\'d definitely recommend it, taking into account its price tag of $99 - just about right.' string
@attribute ' positive' {' positive',' negetive'}

@data
'I like this camera. I also liked the price!! I like that it has disposable batteries instead of recharging ones.',' positive'
'this is my first canon power shot i love it it takes butty full photos and it is light wight good guy i wood rec amend buying this camera .rocco defilippis',' positive'
'My old small camera has a view finder, I have been looking for a new camera with a higher MP, but could not find one with the view finder feature, until Canon came out with this model.  View finders are great, especially when in high sun light.  I am able to focus on the photo to be taken without the display being washed out due to sunlight.',' positive'
'Outstanding value. It replaces an excellent older Power Shot A530 with more capacity & features.  It is virtually impossible to find a small camera in this category with both a visual view finder and a good screen together.  A GREAT SMALL CAMERA!  Thanks Canon for making this type of camera again. Our A530 has traveled across the globe operating flawlessly. I assume the A1400 will function flawlessly for years too!',' positive'
'Not only is this camera easy to use, it is smaller than the previous A1200 model that it replaced.  It fits in the A1200 case. The A1200 was a tight fit in this case, and it fell out of the case and got damaged.',' positive'
'Photos and exposure settings on the Canon A1400 are superior to smartphones.  Having the optical view finder allows for more steady shots; since, my head does not shake as much as my extended arms.  This 16 megapixel image quality is equal to my 5 year old $320 Canon A650 with 12 MP, which had received 1st place prizes in amateur photo contests.  My image quality comparisons at ASA 100 were made using a tripod with both cameras.  Also, how can one beat using light weight 9X-life lithium AA batteries that last for hundreds of photos and image reviews?  Furthermore, when comparing the A1400 to the smartphone, there is a flash which reaches 10 feet or more.  So you should buy one of these before Canon pulls more models from the market.  I recommended that friend buy this camera one year ago, and I wish I had bought mine then too.',' positive'
'It\'s hard to find a camera with both an LCD screen and a viewfinder these days. This camera has both, it is simple to use, very user friendly and takes really great pictures. I am 100\% satisfied and would definately recommend it.',' positive'
'This camera takes great pictures.  It has a view finder which is an absolute must for me.  The camera has so many features/functions for handling various situations.',' positive'
'I got this one to replace my old Nikon that got broke during a trip to Germany.  At first the Camera felt cheap but it grew on me. The more I use this camera, the more I liked it.  Set up was extremely easy and straight forward. Now sure there is a better cameras out there but not at this price range in my honest opinion.  Yes, I don\'t use it but Eye-Fi is supported. http://support.eye.fi/cameras/canon/powershot_a1400I was going to give it one less star for not coming with a USB cable or any Cables for that matter.  But it made up for this because its mini USB input is none-proprietary, yes that\'s right standard.  One of the cables for my USB 2.0 scan disk card reader worked Perfectly.  Then to top it off, the Camera was quickly recognized by my DIY-er computer with Windows 8 and my wife\'s HP Windows 7 Lap Top. I like the view finder. Improvements? 6 or 7x zoom and yes cables but shortcomings/cons are very minimal.',' positive'
'good price and love the viewfinder so I can see to take pictures no matter where the sun is.  good camera',' positive'
'I bought it specifically for Optical eye level viewfinder because most rangefinder cameras now don\'t have it.  The Canon name meant I\'d have great photos too.  The AA batteries are my preference because spares are always available.  It\'s a great little camera to be carried everywhere.',' positive'
'I haven\'t used it yet, I am going to Guadalajara soon and I will use it there.  I\'ll give you full report after that.',' positive'
'Forever a Canon fan. Next camera will be a SLR but for a point and shoot, it is quite simple to operate.simple to operate.',' positive'
'this is the 2nd Canon PowerShot I have owned. Great camera....like the viewfinder when you can\'t see the screen...only point & shoot that has this.',' positive'
'I could not  believe the many controls and features offered by this camera.I have not had a camera since the 70\'s with a AE1 and find this little beautyalmost as good. If you really want to get the most out of it, download the PDFfile instruction manual. It has a wealth of information. I am still trying to use all thedifferent settings and aqm having a ball.',' positive'
'this camera replaces my earlier a 45. I forgot the batteries in it and it went bad.I like it because it is small, light and easy to use',' positive'
'Very easy camera to use.  I was able to use the camera with in minutes.  Battery life and flash are perfect for the novice user.  Great camera!!',' positive'
'Have had it a month or so and no issues unlike the other Canon I bought here last year. Some flaws as others note on reviews, but for the price you cannot go wrong......',' positive'
'when i opened this i thought its soo light  feels like a toy.. then i took some pics with it and omg.. this camera is amazing...  takes great pictures!!  great for the price too',' positive'
'Great camera, features, performance and price! Love the viewer finder in bright light I can see what I\'m shooting, very user friendly controls, love the quick switch from pictures to video with a simple rec. button. The eco-battery saver setting is great got about 25 min HD video and over (80) 16 meg pictures from one charge. Love the AA batteries I use rechargeables, cheap to buy and can get AA batteries anywhere if needed on a trip. The pictures and video are very good.Great Buy!',' positive'
'This was a great camera for me.  I am digitally challenged, and still had no problem figuring out how to use it.  It takes a great photo.  It\'s a little slow, but not enough to make me regret my purchase.  I was VERY happy with the person who wrote the review, about be sure to take the few extra steps needed to get the memory card!  I almost missed that, much appreciated.',' positive'
'I bought this camera for my wife because our other camera is a larger SLR type camera.This camera is the perfect size for carrying in a pocket or purse.As other people have said, the picture and video quality is absolutely excellent as it captures full, vibrant colors.I don\'t see how anybody could regret buying this camera.',' positive'
'2 years ago my daughter broke my wife\'s digital camera screen which made it unusable since it didnt have a viewfinder...and its taken me forever to find a good camera with a viewfinder since almost every company has gone without one...well i got news for ya I\'m a professional photographer and this thing has really nice quality photos... this made my wife\'s Christmas the best ever. if you are an old-school point and shoot person that likes a viewfinder...this is the one for you! it doesn\'t have a ton of bells and whistles but it does the job very very well!',' positive'
'I haven\'t used it much, but it is similar in function to my previous (Canon) camera.  I appreciate the viewfinder, the AA battery power (I use rechargeables and always keep a spare set with the camera) and the SD card.',' positive'
'Love my new camera. It is just what I wanted. Nothing too complicated but easy enough to download photos to my laptop and upload for my work on line. I like being able to resize the photo file if necessary too. It is comfortable to hold with one hand. I appreciated reading all the feedback on the camera before I bought it so I knew to have a memory card and batteries when it arrived.',' positive'
'Yes folks, it\'s just a digital camera.  You can\'t send pictures via WIFi to your computer or your smartphone, tsk tsk...also you can\'t imbed the fact that you are in the jungle at such and such lat and long with a GPS app that saps your battery.  But if you need a second or third camera and a compact one that works and you can tolerate mostly AUTO, this is a keeper.  It\'s small, looks much better than I thought it would, uses AA batteries - I have rechargeable so but it comes with a couple of starter batteries.  For $85, what\'s not to like.  The EVF is small, but useable, and horrors this means you can even use this little camera in sun light.  What will they think of next?  I agree, a few cirques are true.  After flash, it\'s a bit slow to recharge. It\'s not a camera that gives you 800 ISO for low light.  But it fits very easily in a pocket or a purse, and it\'s not bizarrely over engineered like the Panasonic I just bought that\'s basically charming but useless for it\'s presumed main purpose...taking pictures, the ZS 30 at 3+ times the price.',' positive'
'Uses off the shelf batteries available everywhere.  Takes good movies with the push of one button.  Viewfinder window.  Light and small.',' positive'
'The eyepiece is the biggest feature.  You can\'t find one anywhere else unless you pay a lot more.  Camera takes great pictures and its tough.  I slipped and fell in Sicily in September.  Camera flew out of my hand and bounced off two cement walls before it hit the ground.  Nothing worked so I thought it was toast.  I took it back to the hotel and noticed the turret was out of line.  With nothing to lose, I attempted to bend it back.  something went Pop and everything functioned perfectly.  Still running great in December.',' positive'
'I took it along on two vacations. It\'s small and lightweight, and so the camera fit nicely in my purse.',' positive'
'Not high end, but perfect for snaps on the go with no need for the extra gadgetry haul.  It fits nicely in a pocket or purse and the picture quality is actually quite acceptable for someone who likes memories, but is not into needing crystal clear quality that a $700.00 + would provide (been there, done that - not necessary for family memories.)',' positive'
'I am new to picture taking, and this little camera makes me and my pictures look good!.  It was just the right price for a new \"camera bug\" to get started with and it has been easy to use.  The manual is huge (I kept a downloaded copy on my computer)  and I refer to it often and I still have alot to learn, but I believe learning on this is the way to go before spending more on a \"fancier\" camera.  If I become really really good, I may progress to something bigger and better but if I just stay with this, I know I made a good buy. It is easy to load your pictures on line and send to friends and family.',' positive'
'An optical viewfinder is difficult to find in any compact camera.  Although the zoom is only 5x, the camera takes beautiful pictures with superb detail.  I was able to take close ups of several small items, something I wasn\'t able to do with a digital SLR that cost nearly ten times as much as the A1400.  The A1400 is simply fun to use.  For the price Amazon is charging, you also get the great benefit of having a 16 mega pixel camera.',' positive'
'Has many features which make photography much easier.  Not sophisticated enough for aficionados but an very high powered and compact point and shoot camera.  I particularly like the eye level view finder.',' positive'
'Well made and very small to carry.  Takes clear photos and offers a very good zoom.  Uses standard batteries so that is a plus.',' positive'
'nice and easy to use takes really nice pictures for a lower price point I would recommend it for young or older photographers who need something simple',' positive'
'The only modern camera with an optical viewfinder. This is very helpful when I am out in the woods in direct sunlight. The screen is all but invisible, making my other camera useless. And it is a simple-to-use Canon A-series. Great camera.',' positive'
'I purchased this as a gift for my son and his fiancée, for Christmas so I can\'t attest to how it works but they seem to love it.',' positive'
'When you look at the stats and capability of this camera, this is strictly a Canon DSLR T1i or T2i - in a miniature body. Seriously. You can\'t beat this price! I own the T1i and the T4i, and it\'s amazing to see Canon go behind the backs of all these sales and make this small bodied capable camera. Not sure how to take this but I can assure you this; the 16MP Digic 4 processor is a great package for less than $65.00!!',' positive'
'worth every dime,  great pics  easy to use  does go thru batteries ( carry spares) but there AA so they are cheap  and I do take a lot of pics with it at one time , I would get it if you want an inexpensive Canon ,  when it wears out I will get another',' positive'
'This camera is the easiest \"point and shoot\" camera. It\'s high megapixel makes crystal clear pictures and is super small.',' positive'
'I couldn\'t figure out how to change the file size this camera records -- Canon\'s email customer service had the solution in my inbox in less than 24 hours, on a weekend. This model runs on AA batteries, available anywhere, and has an optical eye-level finder that zooms with the lens. These are features I miss in recent digital cameras, but this one has both. The matte surface and general ergonomic layout make this camera easy to handle. Very glad I came across this one.',' positive'
'It meet all my needs.Only complaint that the cord for thecamera did not come with it.It does a great job.',' positive'
'Camera arrived before scheduled delivery, which was great since we wanted to take pics of our daughter\'s first Christmas.The only disappointment, and part of the blame lies with us, no cable or card come with the camera. Just the camera. I am sure somewhere in the product description it states it, but for the price, the camera performs above our expectations.',' positive'
'A easy to operate camera with a fair price, by far a great value.But thats all I want to say!',' positive'
'it IS a Great camera, but whe i bough the camera it say that I will get MEMORY CARD AND AND I DIN\'T GET IT, THATS VERY DESAPOINTED.here is the advertise:Free 8GB Memory Card with the Purchase of This CameraPurchase the Canon PowerShot A1400 and get a free Sandisk 8GB memory card when you buy from Amazon.com.',' positive'
'Settings like no other. And its fool proof but yet great for a more experienced person.. clear pictures plug and play setup on pc  highly recommended!!',' positive'
'Love my new camera.  It is easy for an inexperienced person to use.  Liked the viewfinder in the blazing sun.',' positive'
'This camera is simple to use with outstanding results. It is difficult to take a bad picture with this camera! I would recommend to anyone desiring a practical and simple point and shoot camera.',' positive'
'replaced my powershot A1200 with the A1400 recently and like it so far.  really like the palm-sized body for \"grab shots\" when using my full size DSLRs are not practical or desirable (like last summer in an open market in Tanzania where taking pics of the people is an automatic $1 \"transaction\" per shot.  also like the black body for being even more inconspicuous .',' positive'
'I would highly recommend this little camera. Picture quality is good and very easy to use. Small and compact! Great camera for the price!!',' positive'
'This is the third Canon Power Shot I have purchased.  I purchased this one for my wife before we traveled to Europe.  Because we take many photos out of doors, the view finder is an invaluable feature.  Plus, you never need to worry about a low battery if you just carry a couple spare double A\'s you are always prepared. And the added bonus is that this little camera takes great movies (although the sound could be better).',' positive'
'First, I am so glad Canon provides optical viewfinders on these cameras. It makes shooting in sunny conditions a breeze, no squinting to see faint images on LCD screens.HD video is great. User friendly, quick to learn interface. I didn\'t read any manuals and I was using all the features within 30 minutes. The close up macro shooting came  on automatically when I got extra close to a flower - - - Outstanding! The image stabilization working fine. Its a powerhouse camera that is small, but still has a firm grip and heft. Fits in my pockets. Has a tripod bushing and a help button. This is the result of years of experience and refinements in digital camera design and I took great care in selecting this camera, and it has turned out to be a success!My only suggestion is the 4-way navigation ring have better tactile properties so I can feel the right position with my finger, sometimes I hit the ring and interior button in the wrong place.',' positive'
'Camera met my most important expectation. Runs on AA batteries. Not a fan of battery packs as they are sometimes hard to replace and require recharging.',' positive'
'It is a great camera with a lot of features. It uses standard AA batteries, no need to carry a charger and wait for the battery to charge. Just throw in 2 new batteries (available anywhere) and keep on shooting.',' positive'
'I purchased this camera for my husband on my first order and was so impressed with the quality of pictures and video I had to order me one.  I haven\'t used mine yet since I already have a working camera and I have been no where to take pictures.  The shipping was fast and the price was great.',' positive'
'Just came back from a trip to Peru.  Love the AA batteries.  Using Lithium batteries, my wife only needed to change batteries once while taking approximately 1500 pictures.  Camera is very lightweight.  It isn\'t the smallest camera available (due to AAs) but still easy to fit in pocket or small camera bag.The only complaints I have relate to the multi-function button-wheel on the back.  First, the wheel is slightly recessed and it was a bit challenging to make selections with my fingers.  My wife didn\'t have any problems.  Secondly, we often pressed the flash selection button when pulling the camera out of its case.  This caused several times where we accidentally activated the flash when not needed, then had to wait a few seconds for the recharge before we could take the next picture.Overall, a great little camera.  I also purchased the SX160IS for myself and liked it better (it is an incredible deal for only $50 more), but the A1400 is a terrific choice for a small, lightweight, travel camera.',' positive'
'This is a great little camera if you consider the price and what it does. I could have gotten the cheaper A2500 model but I stuck with this one because of the design which has a better hand  grip and the viewfinder unlike the flat a2500 which easily slip out of one\'s hands. Also feature wise , there isn\'t much difference between the a2500 and a1400 Picture quality is good for the camera but it does struggle in low light settings. it was also quite surprisingly small and can fit in a chest pocket. video recording quality is good at 720p HD recording  with excellent audio recording and playback. it is relatively easy to setup and can just leave it on auto to do it own thing. There are so many settings to toy with ,experiment and configure to get the desired effect. All in all ,I am enjoying my new camera and hope it stay functional. Canon has made and excellent point and shoot camera I implore people to buy it if you need a portable camera.',' positive'
'Just got this camera and took it on a cruise.  Like all Canon cameras (I\'ve had many) it is easy to operate and takes great pictures.  I got this one for times when I want a small camera that fits well in my purse, and I don\'t need a big zoom.  Best of all, it has a viewfinder.  This was great when I was out in the sun and trying to frame a shot.  Also uses AA batteries, which is my preference.  All in all a nice camera that I will enjoy using.',' positive'
'my daughter loves this it was a Christmas present and she is always taking pictures with it really clear pictures',' positive'
'Its a great camera. Great quality. Its also the perfect size not too big but not too small. I would recomend it its all i wanted.',' positive'
'This camera is very good. Takes great pictures and is very easy to use. Nice and small that fits in your pocket.',' positive'
'just had a new addition to family...now we can have great quality memories every step she makes...she loves the camera already',' positive'
'Just enough \"bells & whistles\" for me.  Looked at quite a few reviews before I purchased this camera.Now I know I chose the right one!!  Great camera for the price!!!',' positive'
'Very easy to operate.  Pictures are great.  Battery life is good. For a point and click camera it\'s perfect. I love it.',' positive'
'Our only camera was malfunctioning right when we needed it. We prefer a camera with a viewfinder for the many times the screen is washed out by our bright sunshine. We also needed  some basic adjustability for photos used to sell products online.There are very few basic cameras with a viewfinder. I\'ve been very happy with my previous Canon, so we ordered this one. It was a great price, more features than we need, and smaller and lighter than the previous camera.It arrived quickly. We are very happy.',' positive'
'Paid around $70 for this great little camera. So far it has been awesome, great quality shots and easy to use. Got it as a Christmas present and they have been extremely pleased with it. I would recommend for someone wanting a basic, easy to use point and shoot camera.',' positive'
'I bought this camera just because I like taking pictures that look nice! It takes great pictures and how can you beat that for only $58',' positive'
'Gave this to my wife as a Christmas gift and she seems to really like it.  I used it and was very satisfied with the quality and ease of use.  Picture quality is just as good as a more expensive Canon that we own.',' positive'
'Perfect camera to send with my son out of the country.  He does not have to worry about charging batteries in Ukraine or the different voltages of electricity.  He can just throw in a new set of batteries and he is off and running.  It is also surprisingly small and fits right in his pocket.  I like the programs and how easy it is to use.  I highly recommend this camera.  I am thinking of getting one for myself.  It is better than my camera on my phone and just as portable.  Nice job Cannon.',' positive'
'This camera met or exceeded all my expectations.  It is compact, light, and easy to use. The fact that it uses aa batteries was an important factor for me, because they are readily available & easily replaced. The screen is large & bright.  Price was below $100.',' positive'
'I chose this camera for two main reasons -- it has a viewfinder and uses AA batteries. I bought it to replace another Canon camera that was stolen.I\'m very happy with my new camera. It\'s very easy to use. I downloaded the manual from the Canon website, and learned all about it. I\'m especially pleased with the movie function. I shot a couple of great scenes with my parrot. It was very easy to use. I\'m very happy with this camera.',' positive'
'Exceeds the capabilities of the Olympus we\'ve had for years and is much easier to use. really a user freindly camera',' positive'
'Easy to use if you are not a \'techie\'.  The pictures are sharp and clear and it almost fits in a pocket.',' positive'
'Easy to use. Has viewfinder to use on sunny days when you can\'t see picture on the screen. Lots of features for an inexpensive camera.',' positive'
'easy to use, easy to download pix with a usb cable or simply pull the SD card, excellent quality pix.  Love the viewfinder, love the fact it uses AA batteries, love the zoom, love the video capability.  Took it on a trip to France, and came home with excellent pix.  THANKS for a top quality little camera.  Bought a caribiner clip camera bag that fits it perfectly, and the camera hangs from my purse.  Easy peasy....',' positive'
'It\'s an awesome point and shoot camera, and my wife and I love it. We weren\'t looking for something professional, we just wanted a good camera that would capture our memories well. Takes really good pictures - especially outside. We absolutely love it!',' positive'
'A view finder in bright light is a must for me. Now I can see exactly what I\'m taking a picture of. Takes great pictures; is compact and light weight.',' positive'
'I have been a FILM photographer for many, many years. This Canon is the Perfect Camera to begin the Transition from FILM Cameras to All Digital. It\'s affordable, the perfect size & very Easy to use. The Images are Superb, with or without using the Flash. This begins my journey to the transition to a  Professional 35mm DIGITAL Camera.',' positive'
'Used this camera on many hiking trips, dropped several times with no damage incurred, it is a solid value for the cost, light weight, easy to operate. Photo\'s are high definition, easy to make a copy on a CD-R of your recent adventure with the date on your pictures. It makes many memories stay alive!',' positive'
'I would recommend to anyone that wants quality pictures without a lot of camera set up and adjusting.I just view image on LCD and shoot and walla a great looking picture. If you don\'t have one, buy one,you\'ll  love it!',' positive'
'The camera is simple to use.  I am not a photographer and I wanted a camera that was easy to use for basic pictures.  I am pleased with my purchase.  If you want just a basic digital camera, this could fit your needs.',' positive'
'My son is enjoying his new camera even tho the flash Memory card did not come with our order.  Thank you',' positive'
'I\'m not familiar with all the technicalities of digital cameras, so I\'ll leave that to the other reviewers. I needed a basic point-and-shoot for a service trip, and this fit the bill. I wasn\'t expecting much, given its price ($70), but found that the pictures are crisp and clear, with vivid colors even prior to any editing jobs. Image stabilization was good, and I liked the battery compartment - it\'s convenient when you don\'t have electricity, and the slight bulge on the front helps with shaky hands. The camera itself is a good size, actually; I was expecting something a lot bigger due to the battery compartment, but it\'s petite and classy! All in all, a worthy buy; if your expectations don\'t greatly exceed the price, you\'ll be very pleased.',' positive'
'I gave my girlfriend this camera for Christmas as her Kodak broke. She wanted something simple that would take decent photos she could print, and she had no computer. I have 3 Canons myself and always pleased with them. While I was showing her how to set it up, I found it had many features my current ones didn\'t, such as 16MP photos, 5X zoom etc. So I bought a 2nd one for myself and WOW, so much power in such a little device. What impressed me most was the HD video. It will be my shirt-pocket pal for quite awhile. The price and the free 8GB card were both bonuses. I was disappointed with the lack of instructions so went to my favorite manual printer, manualsink.com and purchased a 124 page copy. I am a frequent customer of theirs and very satisfied.',' positive'
'Now we or talking, this camera I really fell in love with not to heavey what I may call just right order so Thank yall for this one',' positive'
'Bought this for my dad on christmas, he loves it! it has 5x zoom and the picture quality is great!',' positive'
'Love this camera and in spite of no Sd memory card as claimed , it does exactly what I wanted it to do takes nice pictures.',' positive'
'This is an excellent camera... very user friendly and takes fabulous pictures... crystal clear... I would recommend this to anyone!!',' positive'
'We were looking for a small camera with an eye piece as well as a screen because it is often very difficult to view the subject on the screen on a sunny day.',' positive'
'I\'ve used PowerShot series of cameras professionally since the A550.  The A1400 is the best so far with stunning resolution,ease of operation and the eye-friendly viewfinder. The focusing screen is not enough when the lighting is wrong. A longer optical zoom range on the next in the A series would be a big plus. I recommend it to all my students.',' positive'
'This camera is very easy to use.  The sight through the eye piece is much easier to use in sunlight than the screen on the back.  The instructions are extensive and easy to read and apply.',' positive'
'Photos are clear and crisp, very brilliant !!  I am very happy with the quality of picture I am getting with this camera. We hit a large bump while snapping mtn range photo and it came out beautiful ! Def recommend for easy point, zoom and shoot.',' positive'
'The only concern I have is it\'s durability. I use this in my job frequently and need it to hold up. Only time will tell but I hope I get at least 4-5 years out of it.',' positive'
'I bought this camera for my mom to replace the very complicated high-end digital camera I bought for her last year.  This camera is perfect for older folks, the camera is easy to hold, has large power on/off, shuttle, video and playback buttons.  The zoom dial is also perfectly oversize for older people with less dexterity.  Also the camera uses two AA batteries which is just simple and so much easier for taking on trips.I highly recommend this for senior citizens.',' positive'
'I bought this as an \"intermediate\" camera - - in between my cell phone and 30:1 digital zoomer. It fits in a big pocket, or in a small belt pouch - take your choice. (Since I was traveling in pick-pocket areas, I put it in my pocket and kept my hand in my pocket too.)I am VERY pleased. It comes on almost instantaneously, and it also focuses quickly and shoots fast, recovering in less than a second for the next shot.Film speed is good, defaults to 1600. Not exactly for night photography, but low-light is no problem at all.The viewfinder (thanks Canon) is for me indispensable, since LED screens are so hard to see in daylight (not to mention having to get out my reading glasses). I wish other vendors would add the viewfinder back in, but Canon seems to be the last holdout.Another thing I REALLY like for traveling is the AA batteries. Yeah, you have to buy batteries, but you do not have to carry a charger around (and of course forget to charge your spare battery, as we all will eventually do). This only uses two AA\'s, and they last a LONG time, maybe 500-1000 (non-flash) photos or thereabouts.Highly recommended.',' positive'
'I am very happy with this camera.  I like to take a camera when I go out hiking and this is perfect.  Small enough to fit in my pocket, very easy to use, long battery life and the picture quality is very good.  So far all the pictures I\'ve taken with this camera have been great.And I like that it runs on standard batteries, I can always carry spare batteries.  It does not have an included usb cable but that is not a minus for me since I have four already.My only gripe is that the case is plastic, a metal case would have been better.',' positive'
'The HD recording is very nice as long as it\'s not too zoomed in. The camera is VERY Light and compact. Battery life isn\'t too glorious but then again it\'s just 2 AA batteries. The charging flash can be annoying but it\'s a FANTASTIC camera for the money',' positive'
'My wife really liked it.  It\'s small so she can carry it with her most of the time and it uses readily available AA batteries.',' positive'
'Does what I want it to do. Pure and Simple. Love that it has more than just the screen to see what you are taking for a picture.',' positive'
'got it as a replacement for my Kodak EasyShare Z1485 IS Digital Camera  i been using for years like fact its bare bones point an shout to go along with my Canon EOS T3i good for fast shot nice bit of sating for fast use  were you cant get the big DSLR out also can take the 32GB SD cards as will adds  to the canon hardware i have',' positive'
'A pocket-able camera with a view finder made by Canon and selling for less than $100?Upon opening the box, I was pleasantly surprised that I could grab it from multiple angles without activating any controls. Next I was surprised to see the batteries did not make the unit uncomfortably side heavy. The flash is thankfully not a popup. The larger recessed power button and indented battery compartment cover were large enough that I didn\'t have to aim unduly with my large fingers.  The start up and lag times were better than I dared hope. The operating controls kept the same Canon theme. The news just kept getting better as I continued exploring.As for the quality of pictures and it\'s ability to shoot in low light situations? Very good, especially in low light.',' positive'
'I saw one that my wife had bought for high school journalism and had to have one. It takes great pictures, sure not up to bigger cameras but not that far off either. I don\'t understand some of the critical comments such as poor pictures in low light.  I just finished  a set in a museum that didn\'t allow flash and they were fine. As regards the flash, I counted 5 seconds to recharge and take another picture. I consider that acceptable. With any camera you need to watch the battery usage. Turn down the LED display or better yet use the viewfinder and allow time for the batteries to tecover or carry extra batteries for All in all a great supplemental camera which may be all that some people will require.',' positive'
'I just wanted something to record hikes and so on. Homemade porn if the opportunity comes around. It will serve in either case.I\'m not Consumer Reports. Anyway, if you want to be Ansel Adams may need to drop more bucks. Or be a war photographer. If you want to do that you would better served spending way more money on a shrink.It takes fine photos. I could use less menu options. Same reason I don\'t want a smart phone. I want to take a picture. I want to make a phone call. I am not revolving my life around gadgets.',' positive'
'This camera gives perfect digital pictures for such a small camera.The zoom was very good for a trip to the Grand Canyon.Keep the strap around your wrist to avoid dropping camera.I recommend this camera very highly.',' positive'
'Nice Camera and great quality pictures. Very easy to use and figure out. Small and light weight. The thing that surprised me about the camera which i missed when i ordered it is that it uses 2 AA batteries, which totally works for me because i hate having to wait for batteries to charge. It does not have a USB connection because i guess you have to download the pictures directly from the SD Card. Not a big deal. Overall its a decent inexpensive camera that takes quality pictures and video.Not that everyone uses this option but you can shut off the lcd and use the small lens to take pictures that way too.',' positive'
'For a point and shoot camera, it is very light weight and easy to use.  When I set the camera to mute and no flash, it held that setting until I changed it even though I turned the camera off and on. The zoom is easy to use.  The viewing screen is a nce size.  The photos I have taken so far, have turned out great.',' positive'
'So far the camera  works very well.  It is simple to use which is what I was looking for. I downloaded the manual which was very helpful.  I would recommend this camera.',' positive'
'I was looking for a camera that I could used in a hurry. At my age I want to record vacation memories. I was not looking for a camera to take professional photos. I am very well pleased with the Canon Powershot A100. Though surprised at how small it is, its size was an asset, easily fitting into pockets and purse. The AA battery life was very good and 2 AA batteries are easy to find and carry as backup. It has a view finder as well as a digital screen, and the photos are wonderful.',' positive'
'This camera takes great photos, and the price can\'t be beat! Great to take along when the \"big camera\" would be too cumbersome.',' positive'
'I hand these out to my technicians. It\'s so easy to use and to download the pictures to the computer!! I love these Powershot cameras.',' positive'
'I love the viewfinder--I can take photos in the bright sun when others are forced to guess.  My only problem is that indoors it can take a long time for the flash to go off.  Still, I really like it and the photos are excellent.',' positive'
'If you are looking for a great little economical camera this is it.  Love the AA Battery feature...no charger to take along on trips. You can buy backup batteries almost anywhere.  For a AA camera it has a long battery life.  I am using rechargables I bought on Amazon. The complaint about the plastic camera body made me laugh.  My $1200.00 Olympus Mr Bulky is all plastic so is the interior on my $40,000.00 Pickup. So why expect more from a $100.00 camera. The only comlaint is that the SD card is in the same compartment as the AA batteries. Not a deal breaker for me, but kind of inconvenient.  Photos are excellent, sharp bright colors.  I didn\'t buy this for the video feature however it has better sound quality than my wifes $500.00 camcorder.  I was amazed. Love the telephoto viewfinder feature. If you are looking for an economical, take along camera that does a decent job this is it.',' positive'
'Being able to use the view finder and turning off the back screen saves batteries.  If you do need to change batteries this camera uses standard AAs that are available everywhere.  The 5x zoom is great and more adaptable than a phone or tablet camera.  The size of the camera is great.  Fits in a pocket with ease.',' positive'
'The only non-SLR camera on the market that still has an optical viewfinder...LED screens just don\'t cut it when your shooting pictures outdoors!',' positive'
'Purchased this for an elderly parent who is \"scared\" of digital cameras and must use a view finder rather than the lcd screen because of poor eye sight.  I had significant requirements which were: (1) easy to operate \"point and shoot\" camera; (2) view finder and (3) replaceable AA batteries (so no worries if someone forgets to recharge the battery--because it\'s not a rechargeable battery camera).  (4) light weight (5) small camera. This fits the requirements perfectly.  Seriously, stick an SD card and batteries in it and start taking pics. No learning curve required.  If you want rechargeable batteries, remember they are available in size AA. It does have an lcd screen too if you want to use it instead of the view finder.  Could not be happier with this purchase.  It came super quickly too.',' positive'
'I was looking for a good camera for our trip to Disneyland over Christmas break.  I looked on Amazon and I found it.  Just the right size to.  Easy to carry around on our trip.',' positive'
'Great pic quality!  Easy to use and I can use rechargeable AA batteries! No need to buy expensive proprietary batteries.  Also, a rare camera to have an optical viewfinder at a low price.  I don\'t think you will get better pics from paying more - I know, I use Canon DSLRs 50D, 30D with L lenses.Great camera, great price, get one!',' positive'
