@relation Top26Cat_300To900FromEachCat-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Education is the most powerful weapon which you can use to change the world.' string
@attribute ' Education' {' Education',' Health',' Money',' Beauty',' Dreams',' War',' Art',' Home',' Happiness',' Success',' Change',' Nature',' Truth',' Power',' Time',' Love',' God',' Life',' Courage',' Friendship',' Freedom',' Wisdom',' Smile',' Morning',' Alone'}

@data
'It is human nature to instinctively rebel at obscurity or ordinariness.',' Nature'
'By nature, I keep moving, man. My theory is, be the shark. You\'ve just got to keep moving. You can\'t stop.',' Nature'
'While a case can be made for intelligent design, I can\'t figure out why some Christians are so thrilled about that possibility. First of all, it doesn\'t prove there\'s a God. If anything, intelligent design lends support to some form of pantheism that defines God as immanent within nature.',' Nature'
'Whenever I get fed up with life I love to go wandering in nature.',' Nature'
'There is no doubt that religion had already waned under the onslaught of the Enlightenment, but it was Freud who provided the radically new understanding of human nature that made any religious explanation of the whats and whys of our personhood seem naive.',' Nature'
'But theater, because of its nature, both text, images, multimedia effects, has a wider base of communication with an audience. That\'s why I call it the most social of the various art forms.',' Nature'
'There\'s a kind of dynamic quality about theater and that dynamic quality expresses itself in relation to, first of all, the environment in which it\'s being staged; then the audience, the nature of the audience, the quality of the audience.',' Nature'
'Nature also forges man, now a gold man, now a silver man, now a fig man, now a bean man.',' Nature'
'Here take back the stuff that I am, nature, knead it back into the dough of being, make of me a bush, a cloud, whatever you will, even a man, only no longer make me me.',' Nature'
'The more we exploit nature, The more our options are reduced, until we have only one: to fight for survival.',' Nature'
'I have a bit of a rebellious nature.',' Nature'
'The nature of the global business environment guarantees that no matter how hard we work to create a stable and healthy organisation, our organisation will continue to experience dramatic changes far beyond our control.',' Nature'
'English majors understand human nature better than economists do.',' Nature'
'Memory is a magnet. It will pull to it and hold only material nature has designed it to attract.',' Nature'
'All nature wears one universal grin.',' Nature'
'There can never be such a thing as a free market, because it is human nature to cheat, monopolize, and buy off others so as to corner the market.',' Nature'
'Thus, anybody who follows this nature and gives way its states will be led into quarrels and conflicts, and go against the conventions and rules of society, and will end up a criminal.',' Nature'
'Nature is wont to hide herself.',' Nature'
'I decided that if I could paint that flower in a huge scale, you could not ignore its beauty.',' Nature'
'A light wind swept over the corn, and all nature laughed in the sunshine.',' Nature'
'And the heart that is soonest awake to the flowers is always the first to be touch\'d by the thorns.',' Nature'
'I knew, of course, that trees and plants had roots, stems, bark, branches and foliage that reached up toward the light. But I was coming to realize that the real magician was light itself.',' Nature'
'The sun, the moon and the stars would have disappeared long ago... had they happened to be within the reach of predatory human hands.',' Nature'
'The sea is everything. It covers seven tenths of the terrestrial globe. Its breath is pure and healthy. It is an immense desert, where man is never lonely, for he feels life stirring on all sides.',' Nature'
'Perhaps the truth depends on a walk around the lake.',' Nature'
'Every flower is a soul blossoming in nature.',' Nature'
'Sorrows gather around great souls as storms do around mountains; but, like them, they break the storm and purify the air of the plain beneath them.',' Nature'
'Birds have wings; they\'re free; they can fly where they want when they want. They have the kind of mobility many people envy.',' Nature'
'For myself I hold no preferences among flowers, so long as they are wild, free, spontaneous. Bricks to all greenhouses! Black thumb and cutworm to the potted plant!',' Nature'
'Breathless, we flung us on a windy hill, Laughed in the sun, and kissed the lovely grass.',' Nature'
'You can\'t be suspicious of a tree, or accuse a bird or a squirrel of subversion or challenge the ideology of a violet.',' Nature'
'Nothing is more memorable than a smell. One scent can be unexpected, momentary and fleeting, yet conjure up a childhood summer beside a lake in the mountains.',' Nature'
'To cherish what remains of the Earth and to foster its renewal is our only legitimate hope of survival.',' Nature'
'I like trees because they seem more resigned to the way they have to live than other things do.',' Nature'
'Each blade of grass has its spot on earth whence it draws its life, its strength; and so is man rooted to the land from which he draws his faith together with his life.',' Nature'
'Many a man curses the rain that falls upon his head, and knows not that it brings abundance to drive away the hunger.',' Nature'
'Poor, dear, silly Spring, preparing her annual surprise!',' Nature'
'The ground we walk on, the plants and creatures, the clouds above constantly dissolving into new formations - each gift of nature possessing its own radiant energy, bound together by cosmic harmony.',' Nature'
'People from a planet without flowers would think we must be mad with joy the whole time to have such things about us.',' Nature'
'Mother Nature may be forgiving this year, or next year, but eventually she\'s going to come around and whack you. You\'ve got to be prepared.',' Nature'
'Mere goodness can achieve little against the power of nature.',' Nature'
'I perhaps owe having become a painter to flowers.',' Nature'
'Self-defence is Nature\'s eldest law.',' Nature'
'I attribute the quarrelsome nature of the Middle Ages young men entirely to the want of the soothing weed.',' Nature'
'We don\'t do things we aren\'t good at by nature. I wouldn\'t play basketball because I\'m only 5\' 1\". Find what you enjoy - whether it\'s racing, flying a helicopter, being a doctor, or stitching clothes together. Once you\'ve done that, you have the passion you need.',' Nature'
'Nature never said to me: Do not be poor; still less did she say: Be rich; her cry to me was always: Be independent.',' Nature'
'The gifts of nature are infinite in their variety, and mind differs from mind almost as much as body from body.',' Nature'
'If religion had a good purpose, then man would have created something great. But we\'re man: we mess up everything. We mess up nature. We mess up God. We take what is given to us and make it into what we think it should be.',' Nature'
'Listen, if there\'s one sure-fire rule that I have learned in this business, it\'s that I don\'t know anything about human nature.',' Nature'
'I mean, I\'m an artist by nature; no one considers what I do and no one knows who the heck I am, but that anybody does - it is astonishing.',' Nature'
'Genre might certainly increase some of your narrative freedoms, but it also diminishes others. That\'s the nature of genre.',' Nature'
'The man who has sufficient power over himself to wait until his nature has recovered its even balance is the truly wise man, but such beings are seldom met with.',' Nature'
'A lawn is nature under totalitarian rule.',' Nature'
'Knowledge of human nature is the beginning and end of political education.',' Nature'
'We cannot remember too often that when we observe nature, and especially the ordering of nature, it is always ourselves alone we are observing.',' Nature'
'What is called an acute knowledge of human nature is mostly nothing but the observer\'s own weaknesses reflected back from others.',' Nature'
'For neither life nor nature cares if justice is ever done or not.',' Nature'
'The face of nature and civilization in this our country is to a certain point a very sufficient literary field. But it will yield its secrets only to a really grasping imagination. To write well and worthily of American things one need even more than elsewhere to be a master.',' Nature'
'Although I\'m an atheist who believes only in great nature, I recognize the spiritual richness and grandeur of the Roman Catholicism in which I was raised.',' Nature'
'I can find God in nature, in animals, in birds and the environment.',' Nature'
'I mean, you always want everybody to pat you on the back and tell you you\'re wonderful every time you do something; I think that\'s human nature.',' Nature'
'Games, by nature, have more plot options and non-linear qualities than TV and film.',' Nature'
'Nature reserves the right to inflict upon her children the most terrifying jests.',' Nature'
'I know I\'m not known as method. By nature I\'m not a brooder. What I continue to use is a mixture of the English school, which is traditionally outside-in, and the more American way of working from the inside out.',' Nature'
'I\'m very comfortable with the nature of life and death, and that we come to an end. What\'s most difficult to imagine is that those dreams and early yearnings and desires of childhood and adolescence will also disappear. But who knows? Maybe you become part of the eternal whatever.',' Nature'
'Let a hundred flowers bloom, let a hundred schools of thought contend.',' Nature'
'Having family responsibilities and concerns just has to make you a more understanding person.',' Nature'
'It is only in the country that we can get to know a person or a book.',' Nature'
'I am not bound for any public place, but for ground of my own where I have planted vines and orchard trees, and in the heat of the day climbed up into the healing shadow of the woods.',' Nature'
'Nothing is so beautiful as spring - when weeds, in wheels, shoot long and lovely and lush; Thrush\'s eggs look little low heavens, and thrush through the echoing timber does so rinse and wring the ear, it strikes like lightning to hear him sing.',' Nature'
'There\'s always a period of curious fear between the first sweet-smelling breeze and the time when the rain comes cracking down.',' Nature'
'Life has loveliness to sell, all beautiful and splendid things, blue waves whitened on a cliff, soaring fire that sways and sings, and children\'s faces looking up, holding wonder like a cup.',' Nature'
'I remember a hundred lovely lakes, and recall the fragrant breath of pine and fir and cedar and poplar trees. The trail has strung upon it, as upon a thread of silk, opalescent dawns and saffron sunsets.',' Nature'
'Sweet April showers do spring May flowers.',' Nature'
'There is a muscular energy in sunlight corresponding to the spiritual energy of wind.',' Nature'
'The flower is the poetry of reproduction. It is an example of the eternal seductiveness of life.',' Nature'
'In June as many as a dozen species may burst their buds on a single day. No man can heed all of these anniversaries; no man can ignore all of them.',' Nature'
'Deep in their roots, all flowers keep the light.',' Nature'
'In some mysterious way woods have never seemed to me to be static things. In physical terms, I move through them; yet in metaphysical ones, they seem to move through me.',' Nature'
'The lake and the mountains have become my landscape, my real world.',' Nature'
'There is no forgiveness in nature.',' Nature'
'Flowers are without hope. Because hope is tomorrow and flowers have no tomorrow.',' Nature'
'Those little nimble musicians of the air, that warble forth their curious ditties, with which nature hath furnished them to the shame of art.',' Nature'
'Understanding the laws of nature does not mean that we are immune to their operations.',' Nature'
'I\'m very gregarious, but I love being in the hills on my own.',' Nature'
'There is nothing in which the birds differ more from man than the way in which they can build and yet leave a landscape as it was before.',' Nature'
'Eagles commonly fly alone. They are crows, daws, and starlings that flock together.',' Nature'
'When I see a bird that walks like a duck and swims like a duck and quacks like a duck, I call that bird a duck.',' Nature'
'Whenever the pressure of our complex city life thins my blood and numbs my brain, I seek relief in the trail; and when I hear the coyote wailing to the yellow dawn, my cares fall from me - I am happy.',' Nature'
'We are more than just flesh and bones. There\'s a certain spiritual nature and something of the mind that we can\'t measure. We can\'t find it. With all our sophisticated equipment, we cannot monitor or define it, and yet it\'s there.',' Nature'
'It\'s just a part of our nature to hope.',' Nature'
'Go forth under the open sky, and list To Nature\'s teachings.',' Nature'
'I have no enthusiasm for nature which the slightest chill will not instantly destroy.',' Nature'
'If you are cast in a different mould to the majority, it is no merit of yours: Nature did it.',' Nature'
'We are a people that have always celebrated other people\'s success so long as we always had the opportunity to meet that success ourselves. That is the American nature. That is the American character. That is one of the things that makes us different from the rest of the world. And I\'m afraid we could lose that or are on the verge of losing that.',' Nature'
'It\'s not in our nature. Americans have never been a people that drive through a nice neighborhood and say, \'Oh, I hate the people who live in these nice houses.\'',' Nature'
'Parents of recovered children, and I\'ve met hundreds, all share the same experience of doubters and deniers telling us our child must have never even had autism or that the recovery was simply nature\'s course. We all know better, and frankly we\'re too busy helping other parents to really care.',' Nature'
'Greed is a basic part of animal nature. Being against it is like being against breathing or eating. It means nothing.',' Nature'
'Nothing in human nature is so God-like as the disposition to do good to our fellow-creatures.',' Nature'
'I\'ve always regarded nature as the clothing of God.',' Nature'
'The private citizen, beset by partisan appeals for the loan of his Public Opinion, will soon see, perhaps, that these appeals are not a compliment to his intelligence, but an imposition on his good nature and an insult to his sense of evidence.',' Nature'
'To say to the painter that Nature is to be taken as she is, is to say to the player that he may sit on the piano.',' Nature'
'Since those who believe they need a hero/celebrity outnumber the actual heroes/celebrities, people feel safe and comfortably justified in numbers, committing egregious crimes in the name of the greater social ego. Ironically diminishing their own true hero-celebrity nature in the process.',' Nature'
'In the state of nature profit is the measure of right.',' Nature'
'The Republican form of government is the highest form of government: but because of this it requires the highest type of human nature, a type nowhere at present existing.',' Nature'
'And of all illumination which human reason can give, none is comparable to the discovery of what we are, our nature, our obligations, what happiness we are capable of, and what are the means of attaining it.',' Nature'
'Wars will remain while human nature remains. I believe in my soul in cooperation, in arbitration; but the soldier\'s occupation we cannot say is gone until human nature is gone.',' Nature'
'Mencius said that human nature is good. I disagree with that.',' Nature'
'Human nature refers to what is in people but which they cannot study or work at achieving.',' Nature'
'Human nature is what Heaven supplies.',' Nature'
'The idea is that there is a kind of memory in nature. Each kind of thing has a collective memory. So, take a squirrel living in New York now. That squirrel is being influenced by all past squirrels.',' Nature'
'Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.',' Truth'
'Anyone who doesn\'t take truth seriously in small matters cannot be trusted in large ones either.',' Truth'
'Three things cannot be long hidden: the sun, the moon, and the truth.',' Truth'
'There are only two mistakes one can make along the road to truth; not going all the way, and not starting.',' Truth'
'If you tell the truth, you don\'t have to remember anything.',' Truth'
'A lie gets halfway around the world before the truth has a chance to get its pants on.',' Truth'
'I believe that unarmed truth and unconditional love will have the final word in reality. This is why right, temporarily defeated, is stronger than evil triumphant.',' Truth'
'I am a firm believer in the people. If given the truth, they can be depended upon to meet any national crisis. The great point is to bring them the real facts.',' Truth'
'The truth is incontrovertible. Malice may attack it, ignorance may deride it, but in the end, there it is.',' Truth'
'If you are out to describe the truth, leave elegance to the tailor.',' Truth'
'In matters of truth and justice, there is no difference between large and small problems, for issues concerning the treatment of people are all the same.',' Truth'
'Even if you are a minority of one, the truth is the truth.',' Truth'
'In a time of universal deceit - telling the truth is a revolutionary act.',' Truth'
'Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.',' Truth'
'An error does not become truth by reason of multiplied propagation, nor does truth become error because nobody sees it.',' Truth'
'If you look for truth, you may find comfort in the end; if you look for comfort you will not get either comfort or truth only soft soap and wishful thinking to begin, and in the end, despair.',' Truth'
'It\'s no wonder that truth is stranger than fiction. Fiction has to make sense.',' Truth'
'Truth is by nature self-evident. As soon as you remove the cobwebs of ignorance that surround it, it shines clear.',' Truth'
'There\'s a world of difference between truth and facts. Facts can obscure the truth.',' Truth'
'Truth is the most valuable thing we have. Let us economize it.',' Truth'
'The truth is rarely pure and never simple.',' Truth'
'All truth passes through three stages. First, it is ridiculed. Second, it is violently opposed. Third, it is accepted as being self-evident.',' Truth'
'Reason is the natural order of truth; but imagination is the organ of meaning.',' Truth'
'Truth is a deep kindness that teaches us to be content in our everyday life and share with the people the same happiness.',' Truth'
'The great enemy of the truth is very often not the lie, deliberate, contrived and dishonest, but the myth, persistent, persuasive and unrealistic.',' Truth'
'Gossip needn\'t be false to be evil - there\'s a lot of truth that shouldn\'t be passed around.',' Truth'
'I am the Way, the Truth, and the Life. No one comes to the Father except through me.',' Truth'
'Truth is so rare that it is delightful to tell it.',' Truth'
'If you do not tell the truth about yourself you cannot tell it about other people.',' Truth'
'Tell me I\'m clever, Tell me I\'m kind, Tell me I\'m talented, Tell me I\'m cute, Tell me I\'m sensitive, Graceful and wise, Tell me I\'m perfect - But tell me the truth.',' Truth'
'Truth, like gold, is to be obtained not by its growth, but by washing away from it all that is not gold.',' Truth'
'The truth of the matter is that you always know the right thing to do. The hard part is doing it.',' Truth'
'For my part, whatever anguish of spirit it may cost, I am willing to know the whole truth; to know the worst and provide for it.',' Truth'
'If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things.',' Truth'
'If you shut up truth, and bury it underground, it will but grow.',' Truth'
'My guiding principles in life are to be honest, genuine, thoughtful and caring.',' Truth'
'Sometimes the truth hurts. And sometimes it feels real good.',' Truth'
'Betrayal is the only truth that sticks.',' Truth'
'To myself I am only a child playing on the beach, while vast oceans of truth lie undiscovered before me.',' Truth'
'We swallow greedily any lie that flatters us, but we sip only little by little at a truth we find bitter.',' Truth'
'Your problem is how you are going to spend this one odd and precious life you have been issued. Whether you\'re going to spend it trying to look good and creating the illusion that you have power over people and circumstances, or whether you are going to taste it, enjoy it and find out the truth about who you are.',' Truth'
'Gossip is called gossip because it\'s not always the truth.',' Truth'
'There are trivial truths and the great truths. The opposite of a trivial truth is plainly false. The opposite of a great truth is also true.',' Truth'
'A lie which is half a truth is ever the blackest of lies.',' Truth'
'Fear is not in the habit of speaking truth; when perfect sincerity is expected, perfect freedom must be allowed; nor has anyone who is apt to be angry when he hears the truth any cause to wonder that he does not hear it.',' Truth'
'It becomes more necessary to see the truth as it is if you realize that the only vehicle for change are these people who have lost their personality.',' Truth'
'The truth. It is a beautiful and terrible thing, and must therefore be treated with great caution.',' Truth'
'Infinite love is the only truth. Everything else is illusion.',' Truth'
'The first reaction to truth is hatred.',' Truth'
'Truth is tough. It will not break, like a bubble, at a touch; nay, you may kick it about all day like a football, and it will be round and full at evening.',' Truth'
'Rather than love, than money, than fame, give me truth.',' Truth'
'I\'m for truth, no matter who tells it. I\'m for justice, no matter who it\'s for or against.',' Truth'
'Our duty is to encourage every one in his struggle to live up to his own highest idea, and strive at the same time to make the ideal as near as possible to the Truth.',' Truth'
'All fixed set patterns are incapable of adaptability or pliability. The truth is outside of all fixed patterns.',' Truth'
'Light is the symbol of truth.',' Truth'
'Tell the children the truth.',' Truth'
'Truth is beautiful, without doubt; but so are lies.',' Truth'
'Half a truth is often a great lie.',' Truth'
'Truth will ultimately prevail where there is pains to bring it to light.',' Truth'
'Truth can be stated in a thousand different ways, yet each one can be true.',' Truth'
'The words of truth are always paradoxical.',' Truth'
'Plato is dear to me, but dearer still is truth.',' Truth'
'All credibility, all good conscience, all evidence of truth come only from the senses.',' Truth'
'On the mountains of truth you can never climb in vain: either you will reach a point higher up today, or you will be training your powers so that you will be able to climb higher tomorrow.',' Truth'
'The truth will set you free, but first it will make you miserable.',' Truth'
'A lot of truth is said in jest.',' Truth'
'Seek not greatness, but seek truth and you will find both.',' Truth'
'All truths are easy to understand once they are discovered; the point is to discover them.',' Truth'
'Stand upright, speak thy thoughts, declare The truth thou hast, that all may share; Be bold, proclaim it everywhere: They only live who dare.',' Truth'
'I have a theory that the truth is never told during the nine-to-five hours.',' Truth'
'I believe that it is better to tell the truth than a lie. I believe it is better to be free than to be a slave. And I believe it is better to know than to be ignorant.',' Truth'
'Experience has shown, and a true philosophy will always show, that a vast, perhaps the larger portion of the truth arises from the seemingly irrelevant.',' Truth'
'The absurd is the essential concept and the first truth.',' Truth'
'A taste for truth at any cost is a passion which spares nothing.',' Truth'
'If I\'d written all the truth I knew for the past ten years, about 600 people - including me - would be rotting in prison cells from Rio to Seattle today. Absolute truth is a very rare and dangerous commodity in the context of professional journalism.',' Truth'
'Beauty is truth, truth beauty,\' - that is all ye know on earth, and all ye need to know',' Truth'
'Peace if possible, truth at all costs.',' Truth'
'Once you eliminate the impossible, whatever remains, no matter how improbable, must be the truth.',' Truth'
'The water in a vessel is sparkling; the water in the sea is dark. The small truth has words which are clear; the great truth has great silence.',' Truth'
'Only enemies speak the truth; friends and lovers lie endlessly, caught in the web of duty.',' Truth'
'I maintain that Truth is a pathless land, and you cannot approach it by any path whatsoever, by any religion, by any sect.',' Truth'
'Never apologize for showing feeling. When you do so, you apologize for the truth.',' Truth'
'Facts are many, but the truth is one.',' Truth'
'Hard times arouse an instinctive desire for authenticity.',' Truth'
'Truth is like the sun. You can shut it out for a time, but it ain\'t goin\' away.',' Truth'
'My mother taught me that when you stand in the truth and someone tells a lie about you, don\'t fight it.',' Truth'
'A dog barks when his master is attacked. I would be a coward if I saw that God\'s truth is attacked and yet would remain silent.',' Truth'
'All the truth in the world adds up to one big lie.',' Truth'
'A truth that\'s told with bad intent beats all the lies you can invent.',' Truth'
'The earth is supported by the power of truth; it is the power of truth that makes the sun shine and the winds blow; indeed all things rest upon truth.',' Truth'
'It is always the best policy to speak the truth, unless, of course, you are an exceptionally good liar.',' Truth'
'I tore myself away from the safe comfort of certainties through my love for truth - and truth rewarded me.',' Truth'
'Truth will always be truth, regardless of lack of understanding, disbelief or ignorance.',' Truth'
'Every truth has two sides; it is as well to look at both, before we commit ourselves to either.',' Truth'
'People will generally accept facts as truth only if the facts agree with what they already believe.',' Truth'
'The truth is more important than the facts.',' Truth'
'There is no greatness where there is no simplicity, goodness and truth.',' Truth'
'There are some people so addicted to exaggeration that they can\'t tell the truth without lying.',' Truth'
'Adversity is the first path to truth.',' Truth'
'I say that justice is truth in action.',' Truth'
'The truth is the best picture, the best propaganda.',' Truth'
'Gradually I came to realize that people will more readily swallow lies than truth, as if the taste of lies was homey, appetizing: a habit.',' Truth'
'Deconstruction insists not that truth is illusory but that it is institutional.',' Truth'
'I seek a deeper truth, but I don\'t think I have to go to a building designated for worship to find it.',' Truth'
'The sole and basic source of our strength is the solidarity of workers, peasants and the intelligentsia, the solidarity of the nation, the solidarity of people who seek to live in dignity, truth, and in harmony with their conscience.',' Truth'
'If the individual, or heretic, gets hold of some essential truth, or sees some error in the system being practiced, he commits so many marginal errors himself that he is worn out before he can establish his point.',' Truth'
'I would prefer to just continue to speak about truth and to speak about what makes sense.',' Truth'
'It is only through such real-life daily struggles and challenges that a genuine sensitivity to human rights can be inculcated. This is a truth that is not limited to school education: it applies to all of us.',' Truth'
'Truth never was indebted to a lie.',' Truth'
'I used to be more paranoid and stressed, constantly worrying about my Plan B. But the truth is I don\'t have one.',' Truth'
'My friends seem much more excited about my doing Anastasia than Brainstorm... and to tell you the truth, I feel the same way.',' Truth'
'Mom spent the time that she was supposed to be a kid actully raising children, her younger brother and younger sister. She was tough as nails and did not suffer fools at all. And the truth was she could not afford to. She spoke the truth, bluntly, directly, and without much varnish. I am her son.',' Truth'
'The world is starving for a new spiritual truth - a truth that works in sustaining life, not a truth that brings an end to life.',' Truth'
'As soon as you think you know someone else\'s truth better than they do, you are in deep water.',' Truth'
'Our job is to represent the truth of human nature, whether you\'re playing a tender love story that\'s set in a coffee shop or whether you\'re in \'The Avengers,\' which is set in a Manhattan which is exploding.',' Truth'
'The truth is, I don\'t have any problem with journalists - I count some of them as friends - also some of my heroes are journalists, I\'m a big fan of Robert Fisk - great people or crazy people who are prepared to stand up for what\'s right.',' Truth'
'The truth is, you know, we need our anodynes. You know that word, anodynes? We need that in life some times. A good warm bath can be one for you, or a whatever.',' Truth'
'Truth is always a delusion.',' Truth'
'This is the way of peace: Overcome evil with good, falsehood with truth, and hatred with love.',' Truth'
'Men have always detested women\'s gossip because they suspect the truth: their measurements are being taken and compared.',' Truth'
'My longing for truth was a single prayer.',' Truth'
'A petty reason perhaps why novelists more and more try to keep a distance from journalists is that novelists are trying to write the truth and journalists are trying to write fiction.',' Truth'
'Art, whose honesty must work through artifice, cannot avoid cheating truth.',' Truth'
'Faith is the confidence, the assurance, the enforcing truth, the knowing.',' Truth'
'Whatever feminists may say about their only advocating choices, everyone knows the truth: Feminism regards work outside the home as more elevating, honorable, and personally productive than full-time mothering and making a home.',' Truth'
'A harmful truth is better than a useful lie.',' Truth'
'There are only two people who can tell you the truth about yourself - an enemy who has lost his temper and a friend who loves you dearly.',' Truth'
'I preach there are all kinds of truth, your truth and somebody else\'s. But behind all of them there is only one truth and that is that there\'s no truth.',' Truth'
'In the last few years, the very idea of telling the truth, the whole truth, and nothing but the truth is dredged up only as a final resort when the alternative options of deception, threat and bribery have all been exhausted.',' Truth'
'Human love has little regard for the truth. It makes the truth relative, since nothing, not even the truth, must come between it and the beloved person.',' Truth'
'Truth is always served by great minds, even if they fight it.',' Truth'
'Whoever is careless with the truth in small matters cannot be trusted with important matters.',' Truth'
'In a controversy the instant we feel anger we have already ceased striving for the truth, and have begun striving for ourselves.',' Truth'
'Whoever undertakes to set himself up as a judge of Truth and Knowledge is shipwrecked by the laughter of the gods.',' Truth'
'Discrimination is a hellhound that gnaws at Negroes in every waking moment of their lives to remind them that the lie of their inferiority is accepted as truth in the society dominating them.',' Truth'
'Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn\'t.',' Truth'
'There is another old poet whose name I do not now remember who said, \'Truth is the daughter of Time.\'',' Truth'
'Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.',' Truth'
'Delight at having understood a very abstract and obscure system leads most people to believe in the truth of what it demonstrates.',' Truth'
'Read nature; nature is a friend to truth.',' Truth'
'A great truth is a truth whose opposite is also a truth.',' Truth'
'Truth makes many appeals, not the least of which is its power to shock.',' Truth'
'He who sees the truth, let him proclaim it, without asking who is for it or who is against it.',' Truth'
'Some artists shrink from self-awareness, fearing that it will destroy their unique gifts and even their desire to create. The truth of the matter is quite opposite.',' Truth'
'Eternal truth, eternal righteousness, eternal love; these only can triumph, for these only can endure.',' Truth'
'Confidence and superiority: It\'s the usual fundamentalist stuff: I\'ve got the truth, and you haven\'t.',' Truth'
'Every night I go over what I did in the day, in ethical or moral terms. Have I treated people properly? Did I tell the truth?',' Truth'
'I make one pledge above all others - to seek and speak the truth with all the resources of mind and spirit I command.',' Truth'
'I think people must wonder how a white girl like me became a blues guitarist. The truth is, I never intended to do this for a living.',' Truth'
'There are times when we must sink to the bottom of our misery to understand truth, just as we must descend to the bottom of a well to see the stars in broad daylight.',' Truth'
'Well, the first thing is that truth and power for me form an antithesis, an antagonism, which will hardly ever be resolved. I can define in fact, can simplify the history of human society, the evolution of human society, as a contest between power and freedom.',' Truth'
'The Assembly has witnessed over the last weeks how historical truth is established; once an allegation has been repeated a few times, it is no longer an allegation, it is an established fact, even if no evidence has been brought out in order to support it.',' Truth'
'Nobody speaks the truth when there is something they must have.',' Truth'
'Then I despair... I remember that all through history, the way of truth and love has always won. There have been murderers and tyrants, and for a time they can seem invincible. But in the end they always fall. Think of it always.',' Truth'
'The source of all the material comes from nothingness, illusion is working more on things you can prove. That\'s the principle, the essence of life, it is actually an illusion, not immaterial. That\'s worth pursuing. So illusion is not nothing. In a way, that is the truth.',' Truth'
'One of the grand fundamental principles of Mormonism is to receive truth, let it come from whence it may.',' Truth'
'Understanding is a three-edged sword. Your side, my side, and the truth.',' Truth'
'Learning is always rebellion... Every bit of new truth discovered is revolutionary to what was believed before.',' Truth'
'Not that I regret saying what I believed to be the truth, but I regret anything that I might have written or spoken that could have been used in a way to help to foster that atmosphere out of which came the loss of life of Brother Malcolm.',' Truth'
'The audience is the barometer of the truth.',' Truth'
'I\'m interested in the truth, and unauthorized biographies are not. Yes, I would like to correct those errors someday.',' Truth'
'The sad truth is that without complex business partnerships between African elites and European traders and commercial agents, the slave trade to the New World would have been impossible, at least on the scale it occurred.',' Truth'
'Man may aspire to virtue, but he cannot reasonably aspire to truth.',' Truth'
'The truth is that I know very few novelists who have been satisfied with the adaptation of their books for the screen.',' Truth'
'If the reporter has killed our imagination with his truth, he threatens our life with his lies.',' Truth'
'Death comes in a flash, and that\'s the truth of it, the person\'s gone in less than 24 frames of film.',' Truth'
'There are lots of people out there who think they know the truth about God and religion, but does anybody really know for sure? That\'s why the founding fathers built freedom of religious belief into the structure of this nation, so that everybody could make up their minds for themselves.',' Truth'
'Getting rid of a delusion makes us wiser than getting hold of a truth.',' Truth'
'A Truth is the subjective development of that which is at once both new and universal. New: that which is unforeseen by the order of creation. Universal: that which can interest, rightly, every human individual, according to his pure humanity.',' Truth'
'I\'m glad the truth is out. I\'m glad everyone knows I\'m innocent, not guilty.',' Truth'
'We who are interested in relative truth have to keep digging for it and not let ourselves be sucked under.',' Truth'
'An example I often use to illustrate the reality of vanity, is this: look at the peacock; it\'s beautiful if you look at it from the front. But if you look at it from behind, you discover the truth... Whoever gives in to such self-absorbed vanity has huge misery hiding inside them.',' Truth'
'I will be as harsh as truth, and uncompromising as justice... I am in earnest, I will not equivocate, I will not excuse, I will not retreat a single inch, and I will be heard.',' Truth'
'It is not the possession of truth, but the success which attends the seeking after it, that enriches the seeker and brings happiness to him.',' Truth'
'There is no original truth, only original error.',' Truth'
'Argument is conclusive, but it does not remove doubt, so that the mind may rest in the sure knowledge of the truth, unless it finds it by the method of experiment.',' Truth'
'A new scientific truth does not triumph by convincing its opponents and making them see the light, but rather because its opponents eventually die, and a new generation grows up that is familiar with it.',' Truth'
'I\'m a person that just likes to speak the truth, and I don\'t understand why in America it\'s such a big deal that we won\'t read the Koran and we won\'t look at history.',' Truth'
'I wish I had coined the phrase \'tyranny of choice,\' but someone beat me to it. The counterintuitive truth is that have an abundance of options does not make you feel privileged and indulged; too many options make you feel like all of them are wrong, and that you are wrong if you choose any of them.',' Truth'
'The truth is an ambition which is beyond us.',' Truth'
'The truth is really an ambition which is beyond us.',' Truth'
'A few observation and much reasoning lead to error; many observations and a little reasoning to truth.',' Truth'
'A gift of truth is the gift of love.',' Truth'
'Imagination is the wide-open eye which leads us always to see truth more vividly.',' Truth'
'There\'s no point in saying anything but the truth.',' Truth'
'Even truth needs to be clad in new garments if it is to appeal to a new age.',' Truth'
'I\'ve thought for the last decade or so, the only actual place raw truth was seeping through in newspapers was on the Comics Pages. They were able to pull off intelligent social comment, pure truths not found elsewhere in the news pages, and had the ability to make it all funny, entertaining, and pertinent.',' Truth'
'When truth is discovered by someone else, it loses something of its attractiveness.',' Truth'
'It is terrible to destroy a person\'s picture of himself in the interests of truth or some other abstraction.',' Truth'
